raw data,unmodified,oxidized (0.5 hr),oxidized (1 hr),oxidized (2 hr),oxidized (4 hr),cationic (0.5 hr),cationic (1 hr),cationic (2 hr),cationic (4 hr)
wavenumber (cm-1),intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity
1633,77.43321358,47.6527438,94.38617249,92.49047879,95.66544178,38.72247871,39.65835728,37.42531565,28.66530777
1635,70.46405942,44.12615116,85.9111531,90.32136563,94.68301909,39.37868785,40.1873362,38.14960598,29.48266216
1637,72.17509484,43.96069876,88.14733669,91.66991525,93.15173004,39.66825069,40.67469585,38.88084628,30.69308557
1639,71.94230035,43.99606167,96.85542171,91.96116455,93.16464275,38.48477008,40.21154079,38.40085247,30.31101915
1641,71.66257022,42.89486709,99.73502768,91.66267915,90.63989897,38.29881704,39.69317341,37.67142998,29.9812679
1643,72.02435987,41.51166496,98.32164469,89.62488607,87.82644803,37.13350327,38.65077721,36.68271293,30.10763737
1645,69.43207649,38.68553849,86.20620357,82.01993944,84.15304869,36.64480844,37.50587307,36.12313307,30.89378241
1647,64.67549939,36.53849866,79.24331354,79.87656205,81.71494469,37.35548388,37.93012792,37.73334172,31.98247322
1649,61.81310567,35.98297336,81.58297366,80.07828958,78.98670458,36.78816328,38.3321515,37.90967955,31.52163465
1651,58.18652503,33.5925512,74.58183389,74.80366623,74.03751058,34.04323213,37.10908539,36.64770591,31.08257613
1653,53.38975699,32.9773734,63.14242032,70.96900763,71.05517143,34.9221403,39.33177817,39.75414061,33.23132838
1655,56.37707488,32.73549171,78.15063166,74.93611245,71.24760398,39.64985715,41.51514047,41.74629031,34.78225593
